"Data de inicio dos sintomas";"Casos confirmados"
"Ignorado";"424"
"2021/02/01";"2064"
"2021/02/02";"1293"
"2021/02/03";"1296"
"2021/02/04";"1196"
"2021/02/05";"1410"
"2021/02/06";"964"
"2021/02/07";"926"
"2021/02/08";"1348"
"2021/02/09";"1140"
"2021/02/10";"1566"
"2021/02/11";"1067"
"2021/02/12";"1309"
"2021/02/13";"1079"
"2021/02/14";"1050"
"2021/02/15";"1572"
"2021/02/16";"1161"
"2021/02/17";"1483"
"2021/02/18";"1758"
"2021/02/19";"1676"
"2021/02/20";"1796"
"2021/02/21";"1267"
"2021/02/22";"1829"
"2021/02/23";"1582"
"2021/02/24";"1531"
"2021/02/25";"1907"
"2021/02/26";"1853"
"2021/02/27";"1682"
"2021/02/28";"2228"
"2021/03/01";"3440"
"2021/03/02";"2552"
"2021/03/03";"2407"
"2021/03/04";"2282"
"2021/03/05";"3125"
"2021/03/06";"2367"
"2021/03/07";"2481"
"2021/03/08";"3497"
"2021/03/09";"3002"
"2021/03/10";"3864"
"2021/03/11";"3115"
"2021/03/12";"3648"
"2021/03/13";"3185"
"2021/03/14";"3199"
"2021/03/15";"4616"
"2021/03/16";"3523"
"2021/03/17";"3504"
"2021/03/18";"3801"
"2021/03/19";"4228"
"2021/03/20";"4564"
"2021/03/21";"3091"
"2021/03/22";"4041"
"2021/03/23";"3405"
"2021/03/24";"3359"
"2021/03/25";"3989"
"2021/03/26";"3667"
"2021/03/27";"2973"
"2021/03/28";"2841"
"2021/03/29";"3322"
"2021/03/30";"3114"
"2021/03/31";"2925"
"2021/04/01";"4476"
"2021/04/02";"3096"
"2021/04/03";"2701"
"2021/04/04";"2677"
"2021/04/05";"3581"
"2021/04/06";"2926"
"2021/04/07";"2795"
"2021/04/08";"3022"
"2021/04/09";"3297"
"2021/04/10";"3419"
"2021/04/11";"2394"
"2021/04/12";"3275"
"2021/04/13";"2533"
"2021/04/14";"2726"
"2021/04/15";"3044"
"2021/04/16";"2938"
"2021/04/17";"2445"
"2021/04/18";"2322"
"2021/04/19";"3044"
"2021/04/20";"3351"
"2021/04/21";"2232"
"2021/04/22";"2529"
"2021/04/23";"2696"
"2021/04/24";"2562"
"2021/04/25";"2699"
"2021/04/26";"2847"
"2021/04/27";"2395"
"2021/04/28";"2526"
"2021/04/29";"2200"
"2021/04/30";"3199"
"2021/05/01";"3451"
"2021/05/02";"2553"
"2021/05/03";"3125"
"2021/05/04";"2635"
"2021/05/05";"2964"
"2021/05/06";"2612"
"2021/05/07";"2947"
"2021/05/08";"2553"
"2021/05/09";"2732"
"2021/05/10";"4159"
"2021/05/11";"2633"
"2021/05/12";"2775"
"2021/05/13";"2868"
"2021/05/14";"3190"
"2021/05/15";"3349"
"2021/05/16";"2599"
"2021/05/17";"3573"
"2021/05/18";"3097"
"2021/05/19";"2875"
"2021/05/20";"3648"
"2021/05/21";"2970"
"2021/05/22";"2532"
"2021/05/23";"2224"
"2021/05/24";"3169"
"2021/05/25";"3042"
"2021/05/26";"2522"
"2021/05/27";"2416"
"2021/05/28";"2497"
"2021/05/29";"2045"
"2021/05/30";"1945"
"2021/05/31";"2449"
"2021/06/01";"2849"
